reader,title,author,work_id,edition_id
you,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,OL17860744W,OL29858944M
you,"Anathema (The Eating Woods, #1)",Keri Lake,OL44556720W,
you,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,OL17352669W,OL29858947M
you,Good Inside: A Guide to Becoming the Parent You Want to Be,Becky   Kennedy,OL26876258W,OL36484645M
you,"For Whom the Belle Tolls (Hell's Belles, #1)",Jaysea Lynn,OL42457696W,
you,"Nocticadia (Nocticadia, #1)",Keri Lake,OL42842288W,
you,The Poet Empress,Shen Tao,,
you,The Unmaking of June Farrow,Adrienne Young,OL34051088W,OL46110008M
you,The Poison Daughter,Sheila Masterson,OL44997725W,
you,"The Wolf and the Crown of Blood (The Broken Accords, #1)",Elizabeth        May,OL45002036W,
you,"Lights Out (Into Darkness, #1)",Navessa Allen,OL38128674W,OL52222229M
you,"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,OL35780604W,OL40326992M
you,"Gild (The Plated Prisoner, #1)",Raven Kennedy,OL25903620W,
you,"Quicksilver (Fae & Alchemy, #1)",Callie Hart,OL39663865W,OL56884287M
you,They Never Learn,Layne Fargo,OL21896224W,
you,"First-Time Caller (Heartstrings, #1)",B.K. Borison,OL42397881W,OL57571650M
you,"And Now, Back to You (Heartstrings, #2)",B.K. Borison,OL45018896W,
you,A Dowry of Blood,S.T. Gibson,OL24150052W,OL37748487M
you,"Eyes of Devious Burgundy (Deathcaller Duet, #1; An Age of War and Prophecy #1)",Lacey Lehotzky,OL42447605W,
you,Deerskin,Robin McKinley,OL109411W,OL22936008M
you,Spindle's End,Robin McKinley,OL109412W,OL26343345M
you,Sunshine,Robin McKinley,OL109410W,OL7657814M
you,"The Hero and the Crown (Damar, #2)",Robin McKinley,OL109414W,OL16526844M
you,"The Blue Sword (Damar, #1)",Robin McKinley,OL109416W,OL7524692M
you,"Binding 13 (Boys of Tommen, #1)",Chloe Walsh,OL35677398W,
you,Blood Over Bright Haven,M.L. Wang,OL37942515W,OL51347806M
you,"The Female (The Female, #1)",Invi Wright,OL42443952W,
you,"Phantasma (Wicked Games, #1)",Kaylie Smith,OL37862524W,OL51104480M
you,"Slaying the Vampire Conqueror (Crowns of Nyaxia, #2.5)",Carissa Broadbent,OL42410050W,
you,Our Vicious Oaths,N.E. Davenport,OL42398975W,OL57783807M
you,The Sacred Space Between,Kalie Reid,OL42395057W,OL60893011M
you,"Malice (The Faithful and the Fallen, #1)",John Gwynne,OL19347291W,OL27626635M
you,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,OL20128158W,OL27308126M
you,Into the Water,Paula Hawkins,OL17765039W,OL26362212M
you,The Formula: The Universal Laws of Success,Albert-László Barabási,OL20574030W,OL28255139M
you,Network Science,Albert-László Barabási,OL25047365W,
you,"Networks, Crowds, and Markets: Reasoning about a Highly Connected World",David Easley,OL15533224W,OL24490350M
you,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,OL25468077W,OL34153951M
you,"Dire Bound (The Wolves of Ruin, #1)",Sable Sorensen,OL42457466W,
you,"Tress of the Emerald Sea (Hoid's Travails, #1)",Brandon Sanderson,OL28687656W,
you,People We Meet on Vacation,Emily Henry,OL22563730W,
you,Project Hail Mary,Andy Weir,OL21745884W,OL30036715M
you,"Eldritch (The Eating Woods, #2)",Keri Lake,OL45977236W,
you,"Stalked by Seduction and Shadows (Eternal Obsession, #1)",Maggie Sunseri,,
you,"The Ascended (Aesymarean Duet, #1)",Bree Grenwich,OL44695708W,
you,The Witch of Colchis,Rosie Hewlett,OL37623564W,OL50723318M
you,Psyche and Eros,Luna McNamara,OL27806602W,OL40193941M
you,Stone Blind,Natalie Haynes,OL28088268W,OL38442197M
you,Hera,Jennifer Saint,OL37577510W,OL51343524M
you,Half Sick of Shadows,Laura Sebastian,OL24217043W,OL32006829M
you,"The Once and Future King (The Once and Future King, #1–5)",T.H. White,OL1388028W,
you,Gwen & Art Are Not in Love,Lex Croucher,OL28019292W,OL39728231M
you,"A Spindle Splintered (Fractured Fables, #1)",Alix E. Harrow,OL24538829W,OL32526633M
you,"Daughter of the Moon Goddess (The Celestial Kingdom, #1)",Sue Lynn Tan,OL25798494W,OL35991328M
you,The Women of Artemis,Hannah M. Lynn,OL42547013W,OL60892332M
you,"Blood of Hercules (Villains of Lore, #1)",Jasmine Mas,OL38674468W,
you,The Shadow of Perseus,Claire Heywood,OL28118859W,OL38487657M
you,The Hymn to Dionysus,Natasha Pulley,OL44305219W,
you,"I, Medusa",Ayana Gray,OL44547777W,
you,"Hekate - The Witch (Goddesses of the Underworld, #1)",Nikita Gill,,
you,The Life Cycle of the Common Octopus,Emma   Knight,OL45342341W,
you,Sharp Objects,Gillian Flynn,OL5842018W,OL9644182M
you,Water for Elephants,Sara Gruen,OL5813796W,OL8664290M
you,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,OL8479867W,OL20946378M
you,The Song of Achilles,Madeline Miller,OL16509148W,
you,Anxious People,Fredrik Backman,OL20793817W,
you,Piranesi,Susanna Clarke,OL20893680W,
you,Remarkably Bright Creatures,Shelby Van Pelt,OL25382083W,OL34018342M
you,The Lion Women of Tehran,Marjan Kamali,OL37620927W,OL51103983M
you,Babel,R.F. Kuang,OL26443093W,OL35728243M
you,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,OL19629129W,OL26850082M
you,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,OL24161797W,OL31887801M
you,"Fundamentals of Being a Good Girl (Academic Affairs, #1)",Julie Murphy,,
you,Tilt,Emma Pattee,OL42394266W,OL57564612M
you,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,OL41943074W,OL56973186M
you,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,OL34028551W,OL61227378M
you,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,OL29226517W,OL39767438M
you,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,OL27591348W,
you,"We Who Will Die (Empire of Blood, #1)",Stacia Stark,OL42406823W,OL62594816M
you,Wild Reverence,Rebecca   Ross,OL44548973W,
you,"In the Veins of the Drowning (The Siren Mage, #1)",Kalie Cassidy,OL42439250W,OL57586061M
you,Fairydale,Veronica Lancet,OL29258770W,
you,"Empire of Flame and Thorns (Flame and Thorns, #1)",Marion Blackwood,OL44475427W,
you,"Kissed by the Gods (The Eternal Wars, #1)",Caty Rogan,OL45996969W,
you,"A Dawn of Onyx (The Sacred Stones, #1)",Kate  Golden,OL31088557W,
you,"House of Beating Wings (The Kingdom of Crows, #1)",Olivia Wildenstein,OL27953261W,OL38205102M
you,Of the Stars and Sea (A Divine Trinity #1),Brianna Remus,,
you,"The Umbra King (Vincula Realm, #1)",Jamie Applegate Hunter,OL38399134W,
you,"The Wolf King (The Wolf King, #1)",Lauren Palphreyman,OL43951355W,
you,"White Horse Black Nights (The Godkissed Bride, #1)",Evie Marceau,OL36737614W,
you,"Frost (Frost and Nectar, #1)",C.N. Crawford,OL29171411W,OL40126301M
you,"Eternal Reign (Age of Vampires, #1)",Caroline Peckham,OL24527791W,
