k,silhouette,min_cluster_size,max_cluster_size,mean_cluster_size,cluster_size_std,mean_centroid_similarity,max_centroid_similarity,recall_at_10,recall_at_25,recall_at_50,mean_held_out_similarity,median_held_out_similarity,mean_rank_percentile,median_rank_percentile,training_positive_books,held_out_positive_books,reader,fold
7,0.07478470355272293,2,27,11.285714285714286,7.886956423909863,0.555318295955658,0.7901726961135864,0.2,0.3,0.35,0.6218181252479553,0.6213284730911255,0.6705357142857142,0.7464285714285714,79,20,you,3
8,0.048743072897195816,3,17,9.875,4.484347778663024,0.5800357460975647,0.8393329381942749,0.2,0.25,0.4,0.6294569969177246,0.6227920651435852,0.6960714285714287,0.7482142857142857,79,20,you,3
9,0.06256911158561707,3,18,8.777777777777779,4.893936787898943,0.5540648698806763,0.8059508800506592,0.25,0.35,0.45,0.6433826684951782,0.6229536533355713,0.7474999999999999,0.7732142857142856,79,20,you,3
10,0.051026392728090286,3,15,7.9,4.011234224026316,0.5617498755455017,0.810920238494873,0.25,0.3,0.3,0.6298162341117859,0.6118764877319336,0.6764285714285714,0.7035714285714285,79,20,you,3
2,0.11227705329656601,36,43,39.5,3.5,0.7388993501663208,0.7388993501663208,0.0,0.15,0.3,0.5577598810195923,0.5649123191833496,0.5176785714285714,0.5160714285714285,79,20,you,4
3,0.11678328365087509,21,34,26.333333333333332,5.557777333511022,0.7077794075012207,0.7381013631820679,0.0,0.1,0.35,0.5628042221069336,0.5710034370422363,0.5173214285714287,0.5178571428571428,79,20,you,4
4,0.08388086408376694,12,26,19.75,5.11737237261468,0.6891012787818909,0.7581641674041748,0.05,0.1,0.2,0.5587283372879028,0.5595541000366211,0.5051785714285714,0.4875,79,20,you,4
5,0.11065904051065445,3,26,15.8,8.611620056644394,0.5765317678451538,0.7255024909973145,0.0,0.1,0.2,0.5658614039421082,0.577744722366333,0.5364285714285715,0.575,79,20,you,4
6,0.11795220524072647,2,26,13.166666666666666,7.403077438170936,0.5558542013168335,0.7850726842880249,0.0,0.1,0.2,0.5604113340377808,0.5706738233566284,0.5237500000000002,0.5571428571428572,79,20,you,4
7,0.08542313426733017,2,18,11.285714285714286,5.118992247762548,0.5597668290138245,0.8236854076385498,0.05,0.05,0.25,0.5612837672233582,0.5706738233566284,0.5196428571428572,0.5392857142857143,79,20,you,4
8,0.07874474674463272,3,16,9.875,4.594493987372276,0.5729064345359802,0.7730649709701538,0.05,0.05,0.2,0.561032772064209,0.5801762342453003,0.525,0.6125,79,20,you,4
9,0.10816284269094467,2,17,8.777777777777779,4.708804466759354,0.5243207216262817,0.8034521341323853,0.05,0.1,0.25,0.5554851293563843,0.5595753192901611,0.52125,0.5285714285714286,79,20,you,4
10,0.10604223608970642,2,14,7.9,3.2388269481403293,0.5397665500640869,0.8014955520629883,0.1,0.15,0.25,0.5490387082099915,0.5405726432800293,0.48285714285714293,0.4410714285714286,79,20,you,4
2,0.09729689359664917,33,47,40.0,7.0,0.7499271631240845,0.7499271631240845,0.10526315789473684,0.15789473684210525,0.3684210526315789,0.5961507558822632,0.5823872089385986,0.6272401433691757,0.5913978494623655,80,19,you,5
3,0.11165084689855576,22,34,26.666666666666668,5.2493385826745405,0.7080567479133606,0.7279294729232788,0.10526315789473684,0.15789473684210525,0.3157894736842105,0.6000164747238159,0.6010943055152893,0.6198830409356725,0.6415770609318996,80,19,you,5
4,0.06187068298459053,17,26,20.0,3.5355339059327378,0.7057406902313232,0.817950963973999,0.15789473684210525,0.2631578947368421,0.3157894736842105,0.6016068458557129,0.5900773406028748,0.6321448783248445,0.6308243727598566,80,19,you,5
5,0.07331497967243195,4,28,16.0,7.615773105863909,0.6502059102058411,0.7982852458953857,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.5937367081642151,0.5921330451965332,0.6074325598943594,0.6164874551971327,80,19,you,5
6,0.08499330282211304,2,24,13.333333333333334,7.564537145273478,0.6025497913360596,0.7475378513336182,0.10526315789473684,0.21052631578947367,0.3684210526315789,0.6021173596382141,0.5952603816986084,0.6470477268439917,0.6594982078853047,80,19,you,5
7,0.05398815870285034,5,18,11.428571428571429,5.150787536377128,0.6071256995201111,0.8053168654441833,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.5910804867744446,0.5802552700042725,0.6119600075457461,0.6093189964157706,80,19,you,5
8,0.06218641996383667,4,15,10.0,3.1622776601683795,0.6040130853652954,0.7652636766433716,0.05263157894736842,0.21052631578947367,0.47368421052631576,0.600023090839386,0.6118667125701904,0.6442180720618752,0.7419354838709677,80,19,you,5
9,0.07513324916362762,3,16,8.88888888888889,4.121608220220313,0.5947600603103638,0.8108270168304443,0.2631578947368421,0.2631578947368421,0.42105263157894735,0.597979724407196,0.5893418788909912,0.6476136578004151,0.7132616487455197,80,19,you,5
10,0.06104159355163574,1,16,8.0,5.422176684690384,0.4768170714378357,0.7493810057640076,0.10526315789473684,0.3157894736842105,0.42105263157894735,0.6038296818733215,0.590573787689209,0.6555366911903415,0.6594982078853047,80,19,you,5
