reader,k,silhouette_mean,silhouette_std,min_cluster_size_mean,max_cluster_size_mean,mean_cluster_size,cluster_size_std_mean,mean_centroid_similarity,max_centroid_similarity,recall_at_10_mean,recall_at_10_std,recall_at_25_mean,recall_at_25_std,recall_at_50_mean,recall_at_50_std,held_out_similarity_mean,held_out_similarity_std,median_held_out_similarity,rank_percentile_mean,rank_percentile_std,median_rank_percentile
sarah,3,0.11479709595441819,0.014453822909058429,45.2,112.0,74.93333333333334,29.175165027763324,0.6715004324913025,0.7286196351051331,0.021365914786967415,0.01495972423836773,0.04630325814536341,0.029938140652887905,0.09241854636591479,0.03612482785833098,0.5585888504981995,0.016040312732227602,0.5708396196365356,0.5845659097295733,0.05457145287821192,0.6039455478942976
sarah,4,0.1094269186258316,0.022078059269990933,17.0,104.4,56.2,32.52818071156318,0.5956338763236999,0.701056981086731,0.024937343358395987,0.02038821508127398,0.04266917293233082,0.03474012735498242,0.06754385964912281,0.049386889411039095,0.5668628931045532,0.013509975844151598,0.5776483058929444,0.5678179129466541,0.054645370208334904,0.5782764129630447
sarah,5,0.0942095547914505,0.006962930435095705,15.0,84.6,44.96,25.306435059482233,0.5797537088394165,0.8009387016296386,0.02857142857142857,0.027081698014469822,0.057080200501253134,0.040796282574276324,0.08208020050125313,0.05154389508121905,0.5785413384437561,0.008218114997648924,0.5887181043624878,0.5752809347494675,0.03920267718650051,0.595279341883232
sarah,6,0.09216458648443222,0.0051645238140214525,10.6,77.0,37.46666666666667,24.0864287532991,0.5331413149833679,0.8477432370185852,0.02142857142857143,0.023282865732866604,0.05350877192982456,0.043805014306543634,0.074937343358396,0.061154214286613426,0.5847019791603089,0.010174327508187668,0.5906968355178833,0.5793202948367797,0.04655824798724947,0.5943719156902239
sarah,7,0.09510255008935928,0.008045462589152005,8.2,67.4,32.114285714285714,21.81958038981536,0.5316957950592041,0.8499035835266113,0.021365914786967415,0.01495972423836773,0.039097744360902256,0.023142067509136548,0.07117794486215538,0.04553040906923218,0.5896096110343934,0.011054513033559291,0.5983313679695129,0.5636644059750877,0.03236106859337225,0.5890342731034303
sarah,8,0.08429217338562012,0.004600975541108705,8.6,55.4,28.1,14.984786021738184,0.540642261505127,0.8611055731773376,0.017857142857142856,0.017857142857142856,0.03922305764411027,0.029399755489272393,0.06773182957393484,0.038844212236719446,0.5924848556518555,0.013185027338169841,0.5947806000709533,0.5657320886584227,0.028449692841567484,0.5744840085531656
sarah,9,0.08660920858383178,0.012200430921713943,5.8,56.6,24.977777777777778,16.275899066877724,0.49479275941848755,0.863068425655365,0.017857142857142856,0.025253813613805267,0.04993734335839599,0.04269258224551818,0.06422305764411027,0.053041631989916585,0.5908175110816956,0.013457354116401383,0.5948822140693665,0.5614000862389471,0.034919144774768505,0.5747560730580181
sarah,10,0.09000703021883964,0.0194386639148361,5.6,59.4,22.48,16.297742911886722,0.5066386878490448,0.8707000255584717,0.017857142857142856,0.025253813613805267,0.04630325814536341,0.03916691675116789,0.07838345864661654,0.0499916961276881,0.5958337426185608,0.009611567549323347,0.5984086394309998,0.5719245555555514,0.03396295110699392,0.5913903141442505
shannon,2,0.05711132287979126,0.001568940625990298,196.6,209.0,202.8,6.2,0.8806331515312195,0.8806331515312195,0.011842360706658901,0.008237681812959474,0.029625315472723745,0.009998152870239833,0.04938846825859057,0.028966248109726433,0.5893829584121704,0.008225558364158411,0.6017619371414185,0.5577584714129151,0.02787508461250919,0.5806670229623171
shannon,3,0.050017374008893965,0.0036280930208263573,107.6,160.4,135.2,22.408459433028785,0.8548123478889466,0.8663236975669861,0.0059017666472529606,0.008779847231625802,0.021723937099592312,0.008330493439451867,0.04538924480683363,0.015093703897367531,0.5969456315040589,0.007917523008676595,0.6095614194869995,0.5594439742418731,0.028872441657964015,0.5855977797155261
shannon,4,0.05096651539206505,0.009708302582960918,45.2,159.8,101.4,45.01485340968244,0.7966094493865967,0.8757855892181396,0.009842748980780431,0.012007420367238543,0.029586488060570765,0.007002873887143812,0.05132983886623956,0.024728234311034845,0.6011940717697144,0.007081735546113477,0.6126688241958618,0.5651726791480307,0.028185297080270396,0.5923037326657478
shannon,5,0.05027833878993988,0.0031471439643283848,37.0,137.0,81.12,39.4128288398818,0.7729050278663635,0.8833408355712891,0.009842748980780431,0.012007420367238543,0.025645505727043293,0.01128970021843277,0.04342846049310813,0.020599762673446563,0.6073977947235107,0.007153522857060158,0.6154976725578308,0.5699946976134389,0.024714969670384702,0.5881261661650399
shannon,6,0.050897843390703204,0.006256746443840192,30.4,114.8,67.6,33.28367835689667,0.7509796500205994,0.8887427091598511,0.0059017666472529606,0.008779847231625802,0.027606290040768783,0.00825042537887798,0.051291011454086585,0.021488854902633237,0.6111921906471253,0.005651133001555467,0.618471622467041,0.5742084526289307,0.019577463177527336,0.5890158739088446
